ground_truth,model_prediction
bodywork height is not restricted when bodywork is located • between transverse vertical planes positioned at front and rear axle centerlines • inside two vertical fore and aft planes 400 mm outboard from centerline on each side of vehicle,bodywork height is not restricted when bodywork is located • between transverse vertical planes positioned at front and rear axle centerlines • inside two vertical fore and aft planes 400 mm outboard from centerline on each side of vehicle
critical fasteners fastener bolt screw pin etc used in location specified in applicable rule,t81 t81 critical fasteners fastener bolt screw pin etc used in location specified in applicable rule
any critical fastener must meet at minimum one of following sae grade 5 b metric class 88 c anms specifications d equivalent to or better than above as approved by rules question or at technical inspection,t821 t821 any critical fastener must meet at minimum one of following sae grade 5 b metric class 88 c anms specifications d equivalent to or better than above as approved by rules question or at technical inspection
all threaded critical fasteners must be one of following • hex head • hexagonal recessed drive socket head cap screws or allen screwsbolts,t822 t822 all threaded critical fasteners must be one of following • hex head • hexagonal recessed drive socket head cap screws or allen screwsbolts
all critical fasteners must be secured from unintentional loosening with positive locking mechanisms see t83,t823 t823 all critical fasteners must be secured from unintentional loosening with positive locking mechanisms see t83
minimum of two full threads must project from any lock nut,t824 t824 minimum of two full threads must project from any lock nut
some critical fastener applications have additional requirements that are provided in applicable section mm 052 woleb mm 005 mm 005 woleb mm 052 mm 004 mm 0021 mm 005 evoba mm 005 woleb,t825 t825 some critical fastener applications have additional requirements that are provided in applicable section
positive locking mechanisms are defined as those which technical inspectors team members can see that devicesystem is in place visible b do not rely on clamping force to apply locking or anti vibration feature meaning if fastener begins to loosen locking device still prevents fastener coming completely loose,t831 t831 positive locking mechanisms are defined as those which technical inspectors team members can see that devicesystem is in place visible b do not rely on clamping force to apply locking or anti vibration feature meaning if fastener begins to loosen locking device still prevents fastener coming completely loose
examples of acceptable positive locking mechanisms include but are not limited to correctly installed safety wiring b cotter pins c nylon lock nuts where temperature does not exceed 80°c d prevailing torque lock nuts lock washers bolts with nylon patches and thread locking compounds loctite® do not meet positive locking requirement,t832 t832 examples of acceptable positive locking mechanisms include but are not limited to correctly installed safety wiring b cotter pins c nylon lock nuts where temperature does not exceed 80°c d prevailing torque lock nuts lock washers bolts with nylon patches and thread locking compounds loctite® do not meet positive locking requirement
requirements for all fasteners adjustable tie rod ends must be constrained with jam nut to prevent loosening,t84 t84 requirements for all fasteners adjustable tie rod ends must be constrained with jam nut to prevent loosening
high voltage – hv any voltage more than 60 v dc or 25 v ac rms,t911 t911 high voltage – hv any voltage more than 60 v dc or 25 v ac rms
low voltage lv any voltage less than and including 60 v dc or 25 v ac rms,t912 t912 low voltage lv any voltage less than and including 60 v dc or 25 v ac rms
normally open type of electrical relay or contactor that allows current flow only in energized state,t913 t913 normally open type of electrical relay or contactor that allows current flow only in energized state
all low voltage batteries and onboard power supplies must be securely mounted inside chassis below height of shoulder belt mount t26,all low voltage batteries and onboard power supplies must be securely mounted inside chassis below height of shoulder belt mount t26
all low voltage batteries must have overcurrent protection that trips at or below maximum specified discharge current of cells,all low voltage batteries must have overcurrent protection that trips at or below maximum specified discharge current of cells
hot ungrounded terminal must be insulated,t923 t923 hot ungrounded terminal must be insulated
any wet cell battery located in driver compartment must be enclosed in nonconductive marine type container or equivalent,t924 t924 any wet cell battery located in driver compartment must be enclosed in nonconductive marine type container or equivalent
batteries or battery packs based on lithium chemistry must meet one of two have rigid sturdy casing made from nonflammable material b commercially available battery designed as oem style replacement,t925 t925 batteries or battery packs based on lithium chemistry must meet one of two have rigid sturdy casing made from nonflammable material b commercially available battery designed as oem style replacement
all batteries using chemistries other than lead acid must be presented at technical inspection with markings identifying it for comparison to datasheet or other documentation proving pack and supporting electronics meet all rules requirements,t926 t926 all batteries using chemistries other than lead acid must be presented at technical inspection with markings identifying it for comparison to datasheet or other documentation proving pack and supporting electronics meet all rules requirements
master switches each master switch ic93 ev79 must meet following,t93 t93 master switches each master switch ic93 ev79 must meet following
location on driver’s right hand side of vehicle b in proximity to main hoop c at drivers shoulder height d able to be easily actuated from outside vehicle,t931 t931 location on driver’s right hand side of vehicle b in proximity to main hoop c at drivers shoulder height d able to be easily actuated from outside vehicle
characteristics be of rotary mechanical type b be rigidly mounted to vehicle and must not be removed during maintenance c mounted where rotary axis of key is near horizontal and across vehicle d on position must be in horizontal position and must be marked accordingly e off position must be clearly marked f ev only operated with red removable key that must only be removable in electrically open position,t932 t932 characteristics be of rotary mechanical type b be rigidly mounted to vehicle and must not be removed during maintenance c mounted where rotary axis of key is near horizontal and across vehicle d on position must be in horizontal position and must be marked accordingly e off position must be clearly marked f ev only operated with red removable key that must only be removable in electrically open position
inertia switch requirement • ev must have inertia switch • ic should have inertia switch,t941 t941 inertia switch requirement • ev must have inertia switch • ic should have inertia switch
inertia switch must be sensata resettable crash sensor or equivalent b mechanically and rigidly attached to vehicle c removable to test functionality,t942 t942 inertia switch must be sensata resettable crash sensor or equivalent b mechanically and rigidly attached to vehicle c removable to test functionality
inertia switch operation must trigger due to longitudinal impact load which decelerates vehicle at between 8 g and 11 g depending on duration of deceleration refer to spec sheet of sensata device b must open shutdown circuit ic922 ev722 if triggered c must latch until manually reset d may be reset by driver from inside drivers cell,t943 t943 inertia switch operation must trigger due to longitudinal impact load which decelerates vehicle at between 8 g and 11 g depending on duration of deceleration refer to spec sheet of sensata device b must open shutdown circuit ic922 ev722 if triggered c must latch until manually reset d may be reset by driver from inside drivers cell
assigned vehicle number must appear on vehicle as follows locations in three places on front of chassis and both sides b height 150 mm minimum c font block numbers sans serif characters without italic outline shadow or cursive numbers d stroke width and spacing between numbers 18 mm minimum e color white numbers on black background or black numbers on white background f background round oval square or rectangular g spacing 25 mm minimum between edge of numbers and edge of background h numbers must not be obscured by parts of vehicle,ve111 assigned vehicle number must appear on vehicle as follows locations in three places on front of chassis and both sides b height 150 mm minimum c font block numbers sans serif characters without italic outline shadow or cursive numbers d stroke width and spacing between numbers 18 mm minimum e color white numbers on black background or black numbers on white background f background round oval square or rectangular g spacing 25 mm minimum between edge of numbers and edge of background h numbers must not be obscured by parts of vehicle
additional letters or numerals must not show before or after vehicle number,ve112 additional letters or numerals must not show before or after vehicle number
school name each vehicle must clearly display school name abbreviations are allowed if unique and generally recognized b name must be in roman characters minimum 50 mm high on both sides of vehicle c characters must be placed on high contrast background in easily visible location d school name may also appear in non roman characters but roman character version must be uppermost on sides,ve12 ve12 school name each vehicle must clearly display school name abbreviations are allowed if unique and generally recognized b name must be in roman characters minimum 50 mm high on both sides of vehicle c characters must be placed on high contrast background in easily visible location d school name may also appear in non roman characters but roman character version must be uppermost on sides
sae logo sae international logo must be displayed on front andor both sides of vehicle in prominent location,ve13 ve13 sae logo sae international logo must be displayed on front andor both sides of vehicle in prominent location
inspection sticker vehicle must have space for inspection stickers in132 that is • clear and unobstructed area minimum 25 cm wide x 20 cm high • located on upper front surface of nose along vehicle centerline,ve14 ve14 inspection sticker vehicle must have space for inspection stickers in132 that is • clear and unobstructed area minimum 25 cm wide x 20 cm high • located on upper front surface of nose along vehicle centerline
each vehicle must have functional properly mounted transponder andor rfid tag of specified types,ve151 each vehicle must have functional properly mounted transponder andor rfid tag of specified types
refer to rules faq on fsae online website for transponder and rfid tag information and mounting details,ve152 refer to rules faq on fsae online website for transponder and rfid tag information and mounting details
jacking point must be provided at rear of vehicle,ve211 jacking point must be provided at rear of vehicle
jacking point must be capable of supporting vehicle weight and of engaging organizer quick jacks b visible to person standing 1 m behind vehicle c color orange d oriented laterally and perpendicular to centerline of vehicle e made from round 25 30 mm od aluminum or steel tube f exposed around lower 180° of its circumference over minimum length of 280 mm g access from rear of tube must be unobstructed for 300 mm or more of its length h height of tube must allow 75 mm minimum clearance from bottom of tube to ground i when vehicle is raised to where bottom of tube is 200 mm above ground wheels do not touch ground when they are in full rebound,ve212 ve212 jacking point must be capable of supporting vehicle weight and of engaging organizer quick jacks b visible to person standing 1 m behind vehicle c color orange d oriented laterally and perpendicular to centerline of vehicle e made from round 25 30 mm od aluminum or steel tube f exposed around lower 180° of its circumference over minimum length of 280 mm g access from rear of tube must be unobstructed for 300 mm or more of its length h height of tube must allow 75 mm minimum clearance from bottom of tube to ground i when vehicle is raised to where bottom of tube is 200 mm above ground wheels do not touch ground when they are in full rebound
push bar each vehicle must have removable device which attaches to rear of vehicle that allows two people standing erect behind vehicle to push vehicle around competition site b is capable of slowing and stopping forward motion of vehicle and pulling it rearwards,ve22 ve22 push bar each vehicle must have removable device which attaches to rear of vehicle that allows two people standing erect behind vehicle to push vehicle around competition site b is capable of slowing and stopping forward motion of vehicle and pulling it rearwards
each team must have two or more fire extinguishers one extinguisher must readily be available in team’s paddock area b one extinguisher must accompany vehicle when moved using push bar commercially available on board fire system may be used instead of fire extinguisher that accompanies vehicle,ve231 each team must have two or more fire extinguishers one extinguisher must readily be available in team’s paddock area b one extinguisher must accompany vehicle when moved using push bar commercially available on board fire system may be used instead of fire extinguisher that accompanies vehicle
hand held fire extinguishers must not be mounted on or in vehicle,ve232 hand held fire extinguishers must not be mounted on or in vehicle
each fire extinguisher must meet following capacity 09 kg 2 lbs b working medium dry chemicaldry powder aqueous film forming foam afff and halon extinguishers and systems are prohibited c equipped with manufacturer installed pressurecharge gauge d minimum acceptable ratings • usa canada brazil 10bc or 1a 10bc • europe 34b or 5a 34b • australia 20be or 1a 10be e extinguishers of larger capacity higher numerical ratings are acceptable,ve233 each fire extinguisher must meet following capacity 09 kg 2 lbs b working medium dry chemicaldry powder aqueous film forming foam afff and halon extinguishers and systems are prohibited c equipped with manufacturer installed pressurecharge gauge d minimum acceptable ratings • usa canada brazil 10bc or 1a 10bc • europe 34b or 5a 34b • australia 20be or 1a 10be e extinguishers of larger capacity higher numerical ratings are acceptable
electrical equipment ev only following items must accompany vehicle at all times • two pairs of high voltage insulating gloves • multimeter,ve24 ve24 electrical equipment ev only following items must accompany vehicle at all times • two pairs of high voltage insulating gloves • multimeter
mounts for videophotographic cameras must be of safe and secure design,ve251 mounts for videophotographic cameras must be of safe and secure design
all camera installations must be approved at technical inspection,ve252 all camera installations must be approved at technical inspection
helmet mounted cameras and helmet camera mounts are prohibited,ve253 helmet mounted cameras and helmet camera mounts are prohibited
body of camera or recording unit that weighs more than 025 kg must be secured at minimum of two points on different sides of camera body,ve254 body of camera or recording unit that weighs more than 025 kg must be secured at minimum of two points on different sides of camera body
if tether is used to restrain camera tether length must be limited to prevent contact with driver,ve255 if tether is used to restrain camera tether length must be limited to prevent contact with driver
any driver equipment must be in good condition with no tears rips open seams areas of significant wear abrasions or stains which might compromise performance b must fit properly c may be inspected at any time,ve311 any driver equipment must be in good condition with no tears rips open seams areas of significant wear abrasions or stains which might compromise performance b must fit properly c may be inspected at any time
flame resistant material for this section some but not all of approved materials are carbon x indura nomex polybenzimidazole common name pbi and proban,ve312 ve312 flame resistant material for this section some but not all of approved materials are carbon x indura nomex polybenzimidazole common name pbi and proban
synthetic material – prohibited shirts socks or other undergarments not to be confused with flame resistant underwear made from nylon or any other synthetic material which could melt when exposed to high heat are prohibited,ve313 synthetic material – prohibited shirts socks or other undergarments not to be confused with flame resistant underwear made from nylon or any other synthetic material which could melt when exposed to high heat are prohibited
officials may impound any non approved driver equipment until end of competition,ve314 officials may impound any non approved driver equipment until end of competition
driver must wear helmet which is closed face with integral immovable chin guard b contains integrated visorface shield supplied with helmet c meets approved standard d is properly labeled for that standard,ve321 driver must wear helmet which is closed face with integral immovable chin guard b contains integrated visorface shield supplied with helmet c meets approved standard d is properly labeled for that standard
acceptable helmet standards are listed below any additional approved standards are shown on technical inspection form or faq on fsae online website snell k2010 k2015 k2020 m2010 m2015 m2020 sa2010 sah2010 sa2015 sa2020 b sfi specs 3112010 3112015 4112010 4112015 c fia standards fia 88602004 fia 88602010 fia 88602018 fia 88592015,ve322 acceptable helmet standards are listed below any additional approved standards are shown on technical inspection form or faq on fsae online website snell k2010 k2015 k2020 m2010 m2015 m2020 sa2010 sah2010 sa2015 sa2020 b sfi specs 3112010 3112015 4112010 4112015 c fia standards fia 88602004 fia 88602010 fia 88602018 fia 88592015
driver gear driver must wear following,no applicable rule found
driver suit one piece suit made from minimum of two layers of flame resistant material that covers body from neck to ankles and wrists each suit must meet one or more of following standards and be labeled as such • sfi 32a5 or higher ex 10 15 20 • sfi 345 or higher ex 10 15 20 • fia standard 1986 • fia standard 88562000 • fia standard 88562018,ve331 driver suit one piece suit made from minimum of two layers of flame resistant material that covers body from neck to ankles and wrists each suit must meet one or more of following standards and be labeled as such • sfi 32a5 or higher ex 10 15 20 • sfi 345 or higher ex 10 15 20 • fia standard 1986 • fia standard 88562000 • fia standard 88562018
underclothing all competitors should wear fire retardant underwear long pants and long sleeve shirt under their approved driver suit,ve332 underclothing all competitors should wear fire retardant underwear long pants and long sleeve shirt under their approved driver suit
balaclava balaclava head sock which covers driver’s head hair and neck made from flame resistant material,ve333 ve333 balaclava balaclava head sock which covers driver’s head hair and neck made from flame resistant material
socks socks made from flame resistant material that cover bare skin between driver’s suit and shoes,ve334 socks made from flame resistant material that cover bare skin between driver’s suit and shoes
shoes shoes or boots made from flame resistant material that meet approved standard and labeled as such • sfi spec 33 • fia standard 88562000 • fia standard 88562018,ve335 shoes or boots made from flame resistant material that meet approved standard and labeled as such • sfi spec 33 • fia standard 88562000 • fia standard 88562018
gloves gloves made from flame resistant material gloves of all leather construction or fire retardant gloves constructed using leather palms with no insulating flame resistant material underneath are not acceptable,ve336 ve336 gloves gloves made from flame resistant material gloves of all leather construction or fire retardant gloves constructed using leather palms with no insulating flame resistant material underneath are not acceptable
arm restraints arm restraints must be worn in way that driver can release them and exit vehicle unassisted regardless of vehicle’s position b arm restraints must be commercially manufactured arm restraints certified to sfi spec 33 and labeled as such meet this requirement,ve337 arm restraints arm restraints must be worn in way that driver can release them and exit vehicle unassisted regardless of vehicle’s position b arm restraints must be commercially manufactured arm restraints certified to sfi spec 33 and labeled as such meet this requirement
engines used to power vehicle must be piston engines using four stroke primary heat cycle b have total combined displacement less than or equal to 710 cc per cycle,ic111 engines used to power vehicle must be piston engines using four stroke primary heat cycle b have total combined displacement less than or equal to 710 cc per cycle
hybrid powertrains such as those using electric motors running off stored energy are prohibited,hybrid powertrains such as those using electric motors running off stored energy are prohibited
all wasterejected heat from primary heat cycle may be used method of conversion is not limited to four stroke cycle,ic113 all wasterejected heat from primary heat cycle may be used method of conversion is not limited to four stroke cycle
engine may be modified within restrictions of rules,ic114 engine may be modified within restrictions of rules
air intake and fuel system location all parts of engine air system and fuel control delivery and storage systems including throttle or carburetor and complete air intake system including air cleaner and any air boxes must lie inside tire surface envelope f114,no applicable rule found
any portion of air intake system that is less than 350 mm above ground must be shielded from side or rear impacts by structure built per f64 f75 as applicable,ic222 any portion of air intake system that is less than 350 mm above ground must be shielded from side or rear impacts by structure built per f64 f75 as applicable
intake manifold must be securely attached to engine block or cylinder head with brackets and mechanical fasteners • hose clamps plastic ties or safety wires do not meet this requirement • use of rubber bushings or hose is acceptable for creating and sealing air passages but is not structural attachment,ic231 intake manifold must be securely attached to engine block or cylinder head with brackets and mechanical fasteners • hose clamps plastic ties or safety wires do not meet this requirement • use of rubber bushings or hose is acceptable for creating and sealing air passages but is not structural attachment
threaded fasteners used to secure andor seal intake manifold must have positive locking mechanism see t83,ic232 threaded fasteners used to secure andor seal intake manifold must have positive locking mechanism see t83
intake systems with significant mass or cantilever from cylinder head must be supported to prevent stress to intake system supports to engine must be rigid b supports to chassis must incorporate some isolation to allow for engine movement and chassis flex,ic233 intake systems with significant mass or cantilever from cylinder head must be supported to prevent stress to intake system supports to engine must be rigid b supports to chassis must incorporate some isolation to allow for engine movement and chassis flex
all airflow to engines must pass through single circular restrictor placed in intake system,ic241 all airflow to engines must pass through single circular restrictor placed in intake system
only allowed sequence of components are following for naturally aspirated engines sequence must be throttle body restrictor and engine b for turbocharged or supercharged engines sequence must be restrictor compressor throttle body engine,ic242 only allowed sequence of components are following for naturally aspirated engines sequence must be throttle body restrictor and engine b for turbocharged or supercharged engines sequence must be restrictor compressor throttle body engine
maximum restrictor diameters at any time during competition are gasoline fueled vehicles 200 mm b e85 fueled vehicles 190 mm,ic243 maximum restrictor diameters at any time during competition are gasoline fueled vehicles 200 mm b e85 fueled vehicles 190 mm
restrictor must be located to facilitate measurement during technical inspection,ic244 restrictor must be located to facilitate measurement during technical inspection
circular restricting cross section must not be movable or flexible in any way,ic245 circular restricting cross section must not be movable or flexible in any way
restrictor must not be part of movable portion of barrel throttle body,ic246 restrictor must not be part of movable portion of barrel throttle body
intake air may be cooled with intercooler charge air cooler it must be located downstream of throttle body b only ambient air may be used to remove heat from intercooler system c air to air and water to air intercoolers are permitted d coolant of water to air intercooler system must meet t541,ic251 intake air may be cooled with intercooler charge air cooler it must be located downstream of throttle body b only ambient air may be used to remove heat from intercooler system c air to air and water to air intercoolers are permitted d coolant of water to air intercooler system must meet t541
if popoff valves recirculation valves or heat exchangers intercoolers are used they must be positioned in intake system as shown in ic242b,ic252 if popoff valves recirculation valves or heat exchangers intercoolers are used they must be positioned in intake system as shown in ic242b
plenums must not be located anywhere upstream of throttle body for purpose of definition plenum is any tank or volume that is significant enlargement of normal intake runner system teams may submit their designs via rules question for review prior to competition if legality of their proposed system is in doubt,ic253 plenums must not be located anywhere upstream of throttle body for purpose of definition plenum is any tank or volume that is significant enlargement of normal intake runner system teams may submit their designs via rules question for review prior to competition if legality of their proposed system is in doubt
maximum allowable area of inner diameter of intake runner system between restrictor and throttle body is 2825 mm2,ic254 maximum allowable area of inner diameter of intake runner system between restrictor and throttle body is 2825 mm2
connections to intake any crankcase or engine lubrication vent lines routed to intake system must be connected upstream of intake system restrictor,connections to intake any crankcase or engine lubrication vent lines routed to intake system must be connected upstream of intake system restrictor
vehicle must have carburetor or throttle body carburetor or throttle body may be of any size or design b boosted applications must not use carburetors,ic311 vehicle must have carburetor or throttle body carburetor or throttle body may be of any size or design b boosted applications must not use carburetors
throttle actuation method throttle may be actuated mechanically by cable or rod system ic33 b by electronic throttle control ic4,throttle actuation method throttle may be actuated mechanically by cable or rod system ic33 b by electronic throttle control ic4
throttle cable or rod must have smooth operation b have no possibility of binding or sticking c be minimum 50 mm from any exhaust system component and out of exhaust stream d be protected from being bent or kinked by driver’s foot when it is operated by driver or when driver enters or exits vehicle,ic331 throttle cable or rod must have smooth operation b have no possibility of binding or sticking c be minimum 50 mm from any exhaust system component and out of exhaust stream d be protected from being bent or kinked by driver’s foot when it is operated by driver or when driver enters or exits vehicle
throttle actuation system must use two or more return springs located at throttle body throttle position sensors tps are not acceptable as return springs,ic332 throttle actuation system must use two or more return springs located at throttle body throttle position sensors tps are not acceptable as return springs
failure of any component of throttle system must not prevent throttle returning to closed position,ic333 failure of any component of throttle system must not prevent throttle returning to closed position
electronic throttle control this section ic4 applies only when electronic throttle control is used electronic throttle control etc system may be used this is device or system which may change engine throttle setting based on various inputs,ic4 ic4 electronic throttle control this section ic4 applies only when electronic throttle control is used electronic throttle control etc system may be used this is device or system which may change engine throttle setting based on various inputs
electronic throttle must automatically close return to idle when power is removed,ic411 electronic throttle must automatically close return to idle when power is removed
electronic throttle must use minimum two sources of energy capable of returning throttle to idle position one of sources may be device such as dc motor that normally actuates throttle b other devices must be throttle return spring that can return throttle to idle position if loss of actuator power occurs c springs in tps are not acceptable throttle return springs,ic412 electronic throttle must use minimum two sources of energy capable of returning throttle to idle position one of sources may be device such as dc motor that normally actuates throttle b other devices must be throttle return spring that can return throttle to idle position if loss of actuator power occurs c springs in tps are not acceptable throttle return springs
etc system may blip throttle during downshifts when proven that unintended acceleration can be avoided functional analysis must be documented in etc systems form,ic413 etc system may blip throttle during downshifts when proven that unintended acceleration can be avoided functional analysis must be documented in etc systems form
etc system that is commercially available but does not comply with regulations may be used if approved prior to event,ic421 etc system that is commercially available but does not comply with regulations may be used if approved prior to event
to obtain approval submit rules question which includes • which etc system team is seeking approval to use • specific etc rules that commercial system deviates from • sufficient technical details of these deviations to determine acceptability of commercial system,ic422 ic422 to obtain approval submit rules question which includes • which etc system team is seeking approval to use • specific etc rules that commercial system deviates from • sufficient technical details of these deviations to determine acceptability of commercial system
etc notice of intent • must be submitted to inform organizer of intent to run etc • may be used to screen which teams are allowed to use etc,ic431 etc notice of intent • must be submitted to inform organizer of intent to run etc • may be used to screen which teams are allowed to use etc
etc systems form must be submitted in order to use etc,ic432 etc systems form must be submitted in order to use etc
submit etc notice of intent and etc systems form as given in section dr document requirements,ic433 submit etc notice of intent and etc systems form as given in section dr document requirements
late or non submission will prevent use of etc see dr341,ic434 late or non submission will prevent use of etc see dr341
tps must measure position of throttle or throttle actuator throttle position is defined as percent of travel from fully closed to wide open where 0 is fully closed and 100 is fully open,tps must measure position of throttle or throttle actuator throttle position is defined as percent of travel from fully closed to wide open where 0 is fully closed and 100 is fully open
two or more separate sensors must be used as tpss tpss may share same supply and reference lines only if effects of supply andor reference line voltage offsets can be detected,ic442 two or more separate sensors must be used as tpss tpss may share same supply and reference lines only if effects of supply andor reference line voltage offsets can be detected
implausibility is defined as deviation of more than 10 throttle position between sensors or other failure as defined in section ic4 use of values larger than 10 may be considered on case by case basis and require justification in etc systems form,ic443 implausibility is defined as deviation of more than 10 throttle position between sensors or other failure as defined in section ic4 use of values larger than 10 may be considered on case by case basis and require justification in etc systems form
if implausibility occurs between values of two tpss and persists for more than 100 msec power to electronic throttle must be immediately shut down,ic444 if implausibility occurs between values of two tpss and persists for more than 100 msec power to electronic throttle must be immediately shut down
if three sensors are used then in case of tps failure any two tpss that agree within 10 throttle position may be used to define throttle position target and 3rd tps may be ignored,ic445 if three sensors are used then in case of tps failure any two tpss that agree within 10 throttle position may be used to define throttle position target and 3rd tps may be ignored
each tps must be able to be checked during technical inspection by having one of separate detachable connectors for any tps signals to main ecu without affecting any other connections b inline switchable breakout box available that allows disconnection of each tps signals to main ecu without affecting any other connections,ic446 each tps must be able to be checked during technical inspection by having one of separate detachable connectors for any tps signals to main ecu without affecting any other connections b inline switchable breakout box available that allows disconnection of each tps signals to main ecu without affecting any other connections
tps signals must be sent directly to throttle controller using analogue signal or via digital data transmission bus such as can or flexray any failure of tpss or tps wiring must be detectable by controller and must be treated like implausibility,ic447 tps signals must be sent directly to throttle controller using analogue signal or via digital data transmission bus such as can or flexray any failure of tpss or tps wiring must be detectable by controller and must be treated like implausibility
when analogue signal is used tpss will be considered to have failed when they achieve open circuit or short circuit condition which generates signal outside of normal operating range for example 05 v or 45 v circuitry used to evaluate sensor must use pull down or pull up resistors to ensure that open circuit signals result in failure being detected,ic448 when analogue signal is used tpss will be considered to have failed when they achieve open circuit or short circuit condition which generates signal outside of normal operating range for example 05 v or 45 v circuitry used to evaluate sensor must use pull down or pull up resistors to ensure that open circuit signals result in failure being detected
when any kind of digital data transmission is used to transmit tps signal etc systems form must contain detailed description of all potential failure modes that can occur strategy that is used to detect these failures and tests that have been conducted to prove that detection strategy works b failures to be considered must include but are not limited to failure of tps tps signals being out of range corruption of message and loss of messages and associated time outs,ic449 when any kind of digital data transmission is used to transmit tps signal etc systems form must contain detailed description of all potential failure modes that can occur strategy that is used to detect these failures and tests that have been conducted to prove that detection strategy works b failures to be considered must include but are not limited to failure of tps tps signals being out of range corruption of message and loss of messages and associated time outs
accelerator pedal position sensor apps refer to t42 for specific requirements of apps,ic45 ic45 accelerator pedal position sensor apps refer to t42 for specific requirements of apps
brake system encoder bse refer to t43 for specific requirements of bse,ic46 ic46 brake system encoder bse refer to t43 for specific requirements of bse
brakes and throttle position power to electronic throttle must be shut down if mechanical brakes are actuated and tps signals that throttle is open by more than permitted amount for more than one second b interval of one second is allowed for throttle to close return to idle failure to achieve this in required interval must result in immediate shut down of fuel flow and ignition system c permitted relationship between bse and tps may be defined by team using table this functionality must be demonstrated at technical inspection,ic471 ic471 brakes and throttle position power to electronic throttle must be shut down if mechanical brakes are actuated and tps signals that throttle is open by more than permitted amount for more than one second b interval of one second is allowed for throttle to close return to idle failure to achieve this in required interval must result in immediate shut down of fuel flow and ignition system c permitted relationship between bse and tps may be defined by team using table this functionality must be demonstrated at technical inspection
throttle position vs target power to electronic throttle must be immediately shut down if throttle position differs by more than 10 from expected target tps position for more than one second b interval of one second is allowed for difference to reduce to less than 10 failure to achieve this in required interval must result in immediate shut down of fuel flow and ignition system c error in tps position and resultant system shutdown must be demonstrated at technical inspection teams must have method to demonstrate that actions in ic472b above are met system states displayed using calibration software must be accompanied by detailed explanation of control system,ic472 ic472 throttle position vs target power to electronic throttle must be immediately shut down if throttle position differs by more than 10 from expected target tps position for more than one second b interval of one second is allowed for difference to reduce to less than 10 failure to achieve this in required interval must result in immediate shut down of fuel flow and ignition system c error in tps position and resultant system shutdown must be demonstrated at technical inspection teams must have method to demonstrate that actions in ic472b above are met system states displayed using calibration software must be accompanied by detailed explanation of control system
electronic throttle and fuel injectorignition system shutdown must stay active until tps signals indicate throttle is at or below unpowered default position for one second or longer,ic473 electronic throttle and fuel injectorignition system shutdown must stay active until tps signals indicate throttle is at or below unpowered default position for one second or longer
standalone nonprogrammable circuit must be used to monitor electronic throttle control bspd must be provided in addition to throttle plausibility checks ic47,ic481 standalone nonprogrammable circuit must be used to monitor electronic throttle control bspd must be provided in addition to throttle plausibility checks ic47
signals from any sensors must be sent directly to bspd outputs from other modules may not be used in place of raw sensor signals,ic482 signals from any sensors must be sent directly to bspd outputs from other modules may not be used in place of raw sensor signals
bspd must monitor for following conditions both of following for more than one second • demand for hard braking ic46 • throttle more than 10 open ic44 b loss of signal from braking sensors for more than 100 msec c loss of signal from throttle sensors for more than 100 msec d removal of power from bspd circuit,ic483 bspd must monitor for following conditions both of following for more than one second • demand for hard braking ic46 • throttle more than 10 open ic44 b loss of signal from braking sensors for more than 100 msec c loss of signal from throttle sensors for more than 100 msec d removal of power from bspd circuit
when any of above conditions exist bspd must open shutdown circuit ic922,ic484 when any of above conditions exist bspd must open shutdown circuit
bspd must only be reset by cycling primary master switch ic93 off and on,ic485 bspd must only be reset by cycling primary master switch ic93 off and on
bspd must not reset when cockpit main switch ic94 is turned off,ic486 bspd must not reset when cockpit main switch ic94 is turned off
bspd signals and function must be able to be checked during technical inspection by having one of separate set of detachable connectors for any signals from braking sensors throttle sensors and removal of power to only bspd device b inline switchable breakout box available that allows disconnection of brake sensors throttle sensors individually and power to only bspd device,ic487 bspd signals and function must be able to be checked during technical inspection by having one of separate set of detachable connectors for any signals from braking sensors throttle sensors and removal of power to only bspd device b inline switchable breakout box available that allows disconnection of brake sensors throttle sensors individually and power to only bspd device
vehicles must be operated with fuels provided by organizer at competition,ic511 vehicles must be operated with fuels provided by organizer at competition
fuels provided are expected to be gasoline and e85 consult individual competition websites for fuel specifics and other information,ic512 fuels provided are expected to be gasoline and e85 consult individual competition websites for fuel specifics and other information
no agents other than provided fuel and air may go into combustion chamber,ic513 no agents other than provided fuel and air may go into combustion chamber
fuel system must meet following design criteria fuel tank is capable of being filled to capacity without manipulating tank or vehicle in any manner b during refueling on level surface formation of air cavities or other effects that cause fuel level observed at sight tube to drop after movement or operation of vehicle other than due to consumption are prevented c spillage during refueling cannot contact driver position exhaust system hot engine parts or ignition system,ic521 fuel system must meet following design criteria fuel tank is capable of being filled to capacity without manipulating tank or vehicle in any manner b during refueling on level surface formation of air cavities or other effects that cause fuel level observed at sight tube to drop after movement or operation of vehicle other than due to consumption are prevented c spillage during refueling cannot contact driver position exhaust system hot engine parts or ignition system
fuel system location must meet ic12 and f9,ic522 fuel system location must meet ic12 and f9
firewall must separate fuel tank from driver per t18,ic523 firewall must separate fuel tank from driver per t18
fuel tank parts of fuel containment device that is in contact with fuel,fuel tank parts of fuel containment device that is in contact with fuel
